key;en;fr;it;ja;ko;es;pt_BR;pl;de;ru;uk;zh_CN
SITE_CREDITS_TRANSLATOR_ES_ES;European Spanish Translators;Traduction en espagnol d’Espagne;Localizzazione spagnola (Spagna);スペイン語（スペイン）翻訳者;유럽 스페인어 번역가;Traducción al español castellano;Tradutores Espanhol Espanha;Hiszpańskie tłumaczenie (Hiszpania);Spanische Übersetzer;Перевод на испанский;Переклад на іспанську;
SITE_CREDITS_TRANSLATOR_PT_BR;Brazilian Portuguese Translators;Traduction en portuguais brésilien;Localizzazione portoghese (Brasile);ポルトガル語（ブラジル）翻訳者;브라질 포르투갈어 번역가;Traducción al portugués de Brasil;Tradutores Português Brasil;Portugalskie tłumaczenie (Brazylia);Portugiesische Übersetzer;Перевод на бразильский португальский;Переклад на бразильську португальську;
SITE_CREDITS_TRANSLATOR_PL;Polish Translators;Traduction polonaise;Localizzazione polacca;ポーランド語翻訳者;폴란드어 번역가;Traducción al polaco;Tradutores Poloneses;Polskie tłumaczenie;Polnische Übersetzer;Перевод на польский;Переклад на польську;
SITE_CREDITS_TRANSLATOR_DE;German Translators;Traduction allemande;Localizzazione tedesca;ドイツ語翻訳者;독일어 번역가;Traducción al alemán;Tradutores Alemães;Niemieckie tłumaczenie;Deutsche Übersetzer;Перевод на немецкий;Переклад на німецьку;
SITE_CREDITS_TRANSLATOR_RU;Russian Translators;Traduction russe;Localizzazione russa;ロシア語翻訳者;러시아어 번역가;Traducción al ruso;Tradutores Russos;Rosyjskie tłumaczenie;Russische Übersetzer;Перевод на русский;Переклад на російську;
SITE_CREDITS_TRANSLATOR_UK;Ukrainian Translators;Traduction ukrainienne;Localizzazione ucraina;ウクライナ語翻訳者;우크라이나어 번역가;Traducción al ucraniano;Tradutores Ucranianos;Ukraińskie tłumaczenie;Ukrainische Übersetzer;Перевод на украинский;Переклад на українську;
SITE_CREDITS_TRANSLATOR_ZH_CN;[MISSING KEY];;;;;;;;;;;
SITE_CREDITS_FUN;Manager of Fun;Responsable du fun;Responsabile del divertimento;楽しさマネージャー;웃음 총괄;Gerente de diversión;Gerente da Diversão;Manager zabawy;Spaß-Manager;Менеджер веселья;Менеджер забав;
SITE_CREDITS_THANKS;Special Thanks;Remerciements;Ringraziamenti speciali;スペシャルサンクス;Special Thanks;Agradecimientos especiales;Agradecimentos Especiais;Specjalne podziękowania;Besonderer Dank;Особая благодарность;Особлива подяка;
SITE_CREDITS_THANKS_VERY;Very Special Thanks;Remerciements tout particuliers;Ringraziamenti molto speciali;ベリー・スペシャルサンクス;Very Special Thanks;Agradecimientos muy especiales;Agradecimentos Muito Especiais;Bardzo specjalne podziękowania;Ganz Besonderer Dank;От всей души благодарим;Від всього серця дякуємо;
SITE_CREDITS_NAME_FAN_TRANSL;The Mother 1 + 2 Fan Translation Team;La traduction amatrice anglaise de Mother 1 + 2;Il team di traduzione amatoriale di MOTHER 1+2;マザー1＋2ファン翻訳チーム;Mother 1 + 2 팬 번역팀;El equipo de la traducción fan de Mother 1 + 2;A Equipe da Fã-Tradução de Mother 1+2;Zespół fanów tłumaczy Mother 1 + 2;Das Mother 1 + 2 Fanübersetzungsteam;Команду фанатского перевода Mother 1 + 2;Команді фанатського перекладу Mother 1 + 2;
SITE_CREDITS_NAME_COMMUNITY;The Mother Community;La communauté Mother;La community di MOTHER;マザー・コミュニティ;Mother 커뮤니티;La comunidad de Mother;A Comunidade de Mother;Społeczność Mother;Die Mother Community;Сообщество фанатов Mother;Спільноті фанатів Mother;
SITE_CREDITS_NAME_DISCORD;The Mother Encore Discord Server;Le serveur Discord de MOTHER: Encore;Il server Discord di MOTHER: Encore;MOTHER：ENCORE・ディスコード・サーバー;Mother: Encore 디스코드 서버;El servidor de Discord de Mother Encore;O Servidor do Discord de Mother Encore;Serwer Discord Mother Encore;Der Discord-Server von Mother Encore;Discord-сервер Mother: Encore;Discord-серверу Mother: Encore;
